ipv4_address,first_seen,last_seen
194.67.71.50,7/12/2020 8:41,8/11/2020 0:52
194.67.71.52,10/23/2020 4:22,11/20/2020 6:05
194.67.71.6,7/12/2020 9:51,8/11/2020 0:52
194.67.71.62,11/3/2020 14:43,12/5/2020 23:35
194.67.71.68,11/3/2020 14:23,12/5/2020 23:08
194.67.71.70,7/12/2020 8:40,8/11/2020 0:52
194.67.71.71,7/12/2020 5:52,8/11/2020 0:52
194.67.71.73,10/23/2020 4:23,11/13/2020 23:45
194.67.71.76,7/14/2020 3:56,8/4/2020 3:39
194.67.71.77,11/1/2020 9:14,11/1/2020 9:14
194.67.71.84,10/23/2020 4:26,11/10/2020 6:24
194.67.71.85,8/10/2020 18:40,8/10/2020 18:40
194.67.71.90,7/30/2020 20:24,7/30/2020 20:24
194.67.71.93,7/12/2020 5:52,8/11/2020 0:52
194.67.71.95,8/4/2020 3:39,8/4/2020 3:39
194.85.61.76,3/13/2016 14:53,3/27/2016 17:58
195.123.221.107,9/14/2018 19:49,9/14/2018 19:49
195.2.253.209,6/10/2015 3:19,4/7/2016 13:10
206.189.56.130,11/5/2020 2:16,12/18/2020 21:09
209.141.38.71,6/8/2020 21:40,6/8/2020 21:40
209.236.67.121,10/30/2012 17:07,10/30/2012 17:20
213.186.33.5,6/7/2019 3:29,12/14/2019 21:53
217.16.28.65,6/16/2011 9:21,6/16/2011 9:21
23.234.27.209,2/20/2017 6:16,2/20/2017 6:16
23.90.171.175,7/14/2015 6:59,7/15/2015 18:11
31.31.204.59,2/22/2015 16:56,2/22/2015 16:56
31.31.204.60,1/6/2013 16:11,1/20/2013 16:13
31.31.204.61,3/20/2015 19:35,7/8/2015 11:48
31.31.205.163,5/2/2020 13:47,11/7/2020 4:35
46.165.225.130,10/28/2013 10:00,10/28/2013 10:00
46.17.107.154,3/24/2020 10:00,11/10/2020 10:00
46.17.107.46,11/17/2020 10:00,12/18/2020 21:08
46.17.47.19,2/7/2017 2:11,1/23/2018 0:05
5.101.153.72,4/18/2015 10:00,6/6/2015 8:08
5.196.31.107,3/31/2017 3:10,3/30/2018 0:07
5.34.241.207,8/1/2012 18:21,8/1/2012 18:21
69.197.18.176,6/27/2017 23:50,9/28/2017 16:23
69.197.18.183,5/8/2016 11:33,4/15/2018 10:19
70.39.97.230,5/8/2016 11:33,4/15/2018 10:19
72.52.178.23,9/28/2019 10:52,12/18/2020 21:08
72.52.4.119,10/16/2018 10:59,1/31/2019 7:50
72.52.4.91,9/21/2016 1:30,9/21/2016 1:30
74.119.239.234,1/10/2019 14:29,1/11/2019 14:32
74.63.6.18,8/11/2011 23:42,2/3/2012 2:26
74.84.128.78,10/19/2015 0:41,10/6/2016 18:34
77.221.130.20,10/28/2013 10:01,10/28/2013 10:01
78.108.81.100,5/16/2011 18:55,5/16/2011 18:55
78.111.81.170,3/8/2013 13:20,3/8/2013 13:20
78.159.125.240,12/1/2010 9:55,4/24/2011 6:03
78.47.116.206,3/27/2015 11:45,4/25/2015 16:12
79.132.248.3,9/29/2012 0:55,9/29/2012 0:55
81.177.140.202,1/8/2014 16:05,1/8/2014 16:05
82.118.22.59,9/12/2013 9:41,9/12/2013 9:41
82.146.43.144,2/25/2015 20:27,5/1/2015 17:03
82.146.43.159,3/16/2015 14:35,5/1/2015 17:03
83.222.14.207,6/13/2018 15:13,7/16/2018 14:08
87.242.73.219,2/13/2012 15:23,3/5/2012 15:24
91.107.106.68,1/25/2017 9:52,8/29/2017 4:41
91.195.240.126,3/3/2019 12:37,9/24/2019 1:41
91.195.240.240,1/9/2019 2:37,1/22/2019 7:10
91.218.229.11,12/29/2011 11:14,12/29/2011 11:14
92.222.160.243,7/13/2015 6:38,2/12/2017 5:03
94.158.171.7,11/29/2020 9:32,12/18/2020 21:09
94.23.250.53,10/12/2013 16:31,10/12/2013 16:31
